#              k               1              b1              b2              b3              b4           b1*b1           b1*b2           b1*b3           b1*b4           b2*b2           b2*b4           b4*b4           b1*b5           b1*b6           b1*b7              b5              b6              b7
            0.19        -103.565        -114.292         242.516        -84.3895          329.32        -5415.06         11585.9        -366.518         11344.1        -4580.82        -8204.95        -3501.23         141.965         46.4605         27.6996         33.0804         19.7225         14.0456         5.38552         1.80489         1.08751          1.2851        0.774321        0.554754
             0.2        -92.9991         -88.818         249.164        -81.2874         336.193        -5513.69         11838.8        -352.305         11611.8        -4709.68        -8481.95        -3651.15         142.401          46.704         27.8651         33.2538         19.8403         14.1342         5.97899         2.00813         1.21084         1.42981        0.862131        0.617862
            0.21        -84.1096        -69.1067         254.441        -78.4419         341.424        -5611.13         12070.2        -339.455         11856.6        -4830.97        -8744.15        -3793.98         142.993         46.9682         28.0351         33.4419         19.9613         14.2229         6.61414         2.22445         1.34177         1.58383        0.955357        0.684769
            0.22        -76.5048        -54.3689         258.674        -75.8438         345.423        -5710.66         12283.6        -328.339         12082.5        -4945.39        -8992.74        -3930.15         143.959         47.2618         28.2047          33.651         20.0821         14.3074         7.30275         2.45438         1.48008         1.74755         1.05383        0.755248
            0.23        -69.4044        -41.1232          262.05        -73.3611         348.425         -5806.6         12481.5        -318.009         12292.3        -5053.55        -9228.77        -4060.09         144.934         47.5141         28.3426         33.8306         20.1803         14.3747         8.02944         2.69448         1.62409          1.9185         1.15637        0.828567
            0.24        -62.4921        -27.4013         264.632        -70.9291         350.505         -5892.9         12664.9        -307.726         12486.8        -5155.74        -9452.78        -4184.01         145.595         47.6875         28.4391         33.9541         20.2489         14.4224         8.77416         2.94176          1.7727         2.09457         1.26218        0.904309
            0.25        -55.9698        -13.9051         266.473        -68.5631         351.726        -5970.35         12835.2         -297.43         12667.5        -5252.58        -9665.87         -4302.4         145.917         47.7968         28.5053         34.0319         20.2961         14.4563         9.53362         3.19673         1.92643         2.27611         1.37164        0.982753
            0.26        -50.0174        -1.75362         267.654        -66.3034         352.185        -6042.41         16352.1        -287.488         12835.1        -5344.33        -9868.53        -4415.44         146.091         47.8758         28.5555         34.0881         20.3319         14.4822         10.3155          3.4605          2.0856         2.46392         1.48497         1.06397
            0.27        -44.6101         8.81172         268.274        -64.1615         351.999        -6111.61         13139.9        -278.138         12990.9         -5431.4        -10061.5        -4523.46         146.264         47.9403          28.594         34.1341         20.3593         14.5013         11.1295         3.73401         2.25039         2.65866          1.6023           1.148
            0.28        -39.6585         18.1156         268.414        -62.1231         351.271        -6178.33         13276.8        -269.339         13136.3        -5514.13        -10245.4        -4626.75          146.44         47.9873         28.6193         34.1675         20.3773         14.5134         11.9758         4.01677         2.42051         2.85999         1.72343         1.23471
            0.29        -35.0815         26.6291         268.138        -60.1717         350.075        -6241.41         13404.7        -260.934         13272.1        -5592.76        -10420.6        -4725.52         146.553         48.0097         28.6304         34.1835         20.3852         14.5186         12.8483         4.30784         2.59564         3.06724         1.84812         1.32398
             0.3        -30.8214         34.6033         267.493        -58.2987         348.467        -6300.31         13524.2        -252.827         13399.1        -5667.62          -10588        -4820.06         146.563         48.0064         28.6278         34.1811         20.3833         14.5173         13.7422         4.60666         2.77554            3.28         1.97622         1.41572
            0.31        -26.8532         41.9932         266.519        -56.5027         346.494         -6355.5           13636        -245.021         13517.8        -5738.85        -10747.6        -4910.53         146.485         47.9811         28.6127         34.1631         20.3726         14.5097         14.6569         4.91302         2.96002         3.49813         2.10757         1.50978
            0.32         -23.159         48.7374         265.255        -54.7834         344.203        -6407.74         13740.5        -237.553         13628.7        -5806.66          -10900        -4997.11         146.358         47.9386         28.5863         34.1328         20.3538         14.4958         15.5946         5.22684         3.14882         3.72157           2.242         1.60598
            0.33        -19.7288         54.8556         263.732        -53.1379         341.629        -6457.37         13838.1        -230.428         13732.4        -5871.17        -11045.3        -5079.91         146.201         47.8811         28.5496         34.0919         20.3277         14.4764         16.5565         5.54783         3.34168         3.95012         2.37932         1.70418
            0.34        -16.5779         60.3335         261.977        -51.5618           338.8        -6504.34           13929        -223.615         13829.1        -5932.41        -11183.7           -5159          146.01         47.8093         28.5039         34.0408         20.2951         14.4523         17.5407         5.87532         3.53821          4.1833         2.51925         1.80417
            0.35        -13.7107         65.1629         260.001        -50.0484         335.731        -6548.41         14013.1        -217.076         13918.5        -5990.31        -11314.9        -5234.29         145.773         47.7211         28.4483          33.978         20.2555         14.4232         18.5441         6.20816         3.73765         4.42028         2.66125         1.90555
            0.36        -11.0851         69.4532         257.811        -48.5917         332.428        -6589.28         14089.9        -210.786         14000.3        -6044.62        -11438.8        -5305.64         145.482         47.6133         28.3801         33.9012          20.207         14.3874         19.5628         6.54466         3.93879         4.65988         2.80446         2.00763
            0.37        -8.64512         73.3472         255.401        -47.1827          328.88        -6626.36         14158.7        -204.723         14073.9        -6095.07        -11554.3        -5372.63         145.139         47.4818         28.2956         33.8076         20.1468         14.3426         20.5941          6.8828         4.14007         4.90064         2.94778         2.10952
            0.38        -6.37411         76.8511         252.747        -45.8149         325.055        -6659.22         14218.1        -198.875         14137.7        -6140.92        -11660.5        -5434.75         144.736         47.3205         28.1899         33.6928         20.0716          14.286         21.6332         7.21965         4.33937         5.14048         3.08968         2.21002
            0.39        -4.29159         79.8762         249.815        -44.4795         320.908        -6686.92           14266        -193.212         14189.7        -6181.24        -11755.3         -5491.1         144.263          47.123         28.0587         33.5521         19.9781         14.2152         22.6737         7.55182         4.53435         5.37699         3.22851         2.30786
             0.4        -2.41356         82.3644         246.564        -43.1676         316.385        -6708.22         14299.7          -187.7         14227.3        -6214.85        -11836.6        -5540.58         143.703         46.8809         27.8966         33.3798         19.8627         14.1276         23.7071         7.87518         4.72223         5.60722         3.36228         2.40156
           0.005        -20.5558         -15.682        -21.4909        -5.24848        -21.6615        -17.6236         13.8843       -0.259038         14.1329       -0.760476        -1.10322       -0.307888       0.0266316        0.685856        0.585603        0.488337        0.416956        0.347015     0.000103476     8.19418e-05     5.92033e-05     5.83435e-05     4.21535e-05     3.25569e-05
          0.0075        -56.7705        -58.6732        -44.5658        -14.3808        -45.0304        -41.9784         31.3873       -0.548109         32.8909        -1.62074        -2.36217       -0.663204       0.0579091         1.93722         1.65547         1.37932         1.17871        0.981263     0.000131297     0.000163217      0.00012799     0.000116212     9.11302e-05     7.34682e-05
